"RACK 0, 6ES7 151-7FA20-0AB0 V2.6, IM151-7 F-CPU"
"RACK 0, SLOT 2, _S7H_HSP_6ES7_151_7FA20_0AB0_FW26_CT V2.6, IM151-7 F-CPU"
"RACK 0, SLOT 2, SUBSLOT 1, _S7H_HSP_6ES7_151_7FA20_0AB0_FW26_MPI_DP_CT, MPI/DP"
"RACK 0, SLOT 2, SUBSLOT 2, 6ES7 138-4HA00-0AB0, DP"
"RACK 0, SLOT 4, 6ES7 138-4CB11-0AB0, PM-E DC24/48V/ AC24/230V"
"RACK 0, SLOT 7, 6ES7 138-4FD00-0AA0, 4POTDIS 24 VDC / 230 VAC"
"RACK 0, SLOT 8, 6ES7 138-4CB11-0AB0, PM-E DC24/48V/ AC24/230V"
"RACK 0, SLOT 10, 6ES7 138-4CB11-0AB0, PM-E DC24/48V/ AC24/230V"
"RACK 0, SLOT 11, 6ES7 131-4BF00-0AA0, 8DI DC24V"
"RACK 0, SLOT 12, 6ES7 131-4BD01-0AA0, 4DI DC24V ST"
"RACK 0, SLOT 13, 6ES7 131-4BD01-0AA0, 4DI DC24V ST"
"RACK 0, SLOT 14, 6ES7 138-4CB11-0AB0, PM-E DC24/48V/ AC24/230V"
"RACK 0, SLOT 15, 6ES7 131-4BD01-0AA0, 4DI DC24V ST"
"RACK 0, SLOT 16, 6ES7 131-4BD01-0AA0, 4DI DC24V ST"
"RACK 0, SLOT 17, 6ES7 138-4CB11-0AB0, PM-E DC24/48V/ AC24/230V"
"RACK 0, SLOT 18, 6ES7 134-4MB02-0AB0, 2AI I 2/4WIRE HF"
"RACK 0, SLOT 19, 6ES7 134-4MB02-0AB0, 2AI I 2/4WIRE HF"
"RACK 0, SLOT 20, 6ES7 138-4FD00-0AA0, 4POTDIS 24 VDC / 230 VAC"
"RACK 0, SLOT 21, 6ES7 138-4CB11-0AB0, PM-E DC24/48V/ AC24/230V"
"RACK 0, SLOT 22, 6ES7 132-4BF00-0AA0, 8DO DC24V/0.5A"
"RACK 0, SLOT 23, 6ES7 138-4CB11-0AB0, PM-E DC24/48V/ AC24/230V"
"RACK 0, SLOT 24, 6ES7 132-4BB31-0AA0, 2DO DC24V/2A ST"
"RACK 0, SLOT 25, 6ES7 132-4BB31-0AA0, 2DO DC24V/2A ST"
"RACK 0, SLOT 26, 6ES7 138-4CB11-0AB0, PM-E DC24/48V/ AC24/230V"
"RACK 0, SLOT 27, 6ES7 132-4BB31-0AA0, 2DO DC24V/2A ST"
"RACK 0, SLOT 28, 6ES7 132-4BB31-0AA0, 2DO DC24V/2A ST"
"RACK 0, SLOT 29, 6ES7 138-4CB11-0AB0, PM-E DC24/48V/ AC24/230V"
"RACK 0, SLOT 30, 6ES7 132-4BB31-0AA0, 2DO DC24V/2A ST"
"RACK 0, SLOT 31, 6ES7 132-4BB31-0AA0, 2DO DC24V/2A ST"
